start;end;Project;Country;Watershed;siteID;W1stvex;W2stvex;status;landuse;type.protection;National.Park;Other.Park.or.general.Reservee.gregional;Natura.2000;Ramsar;Type.of.water.body;Sediment.type;Capture.your.location;latitude;longitude;altitude;precision;Sampling.Time;Sampling.Date;Water.TemperatureC;pH;SPC;Cond;O2%;dO2;Turbidity;Turbidity.Units;leafsp;Quercusoak;Piceaspruce;Acermaple;Ulmuselm;Fagusbeech;Betulabirch;Populuspoplar;Salixwillow;Fraxinusash;Pinuspine;Otherdefine.in.comments.at.end;Additional.field.notes.or.comments;id;uuid;submissiontime;validationstatus;notes;status.1;submittedby;version;tags;index
2023-10-03T20:53:37.107+02:00;2023-10-03T21:20:12.013+02:00;FUNACTION;Sweden;Norrstrom (NR);NR01T1;81;80;Non-protected area;Forest-natural (may be managed by not monocultures and straight rows etc...);;NA;NA;NA;NA;Lake or pond (lentic);silt or mud;60.00612 17.67911 0 0;60.00612;17.67911;0;0;15:00:00.000+02:00;2023-09-29;14.5;5;133.5;106.7;0.1;0.01;967.8;FNU;Populus (poplar) Salix (willow);0;0;0;0;0;0;1;1;0;0;0;;274890542;e9519f9e-9e2a-41f1-a81c-912cdecfb66a;2023-10-03T19:20:13;;NA;submitted_via_web;jand_bio;v5CxJWaLSUmsdhg44TWR9i;NA;1
2023-10-03T21:20:12.034+02:00;2023-11-07T09:56:47.420+01:00;FUNACTION;Sweden;Norrstrom (NR);NR02T1;115;116;Non-protected area;Grassland, meadow, similar;;NA;NA;NA;NA;Lake or pond (lentic);silt or mud;59.98847 17.71765 0 0;59.98847;17.71765;0;0;17:07:00.000+02:00;2023-09-29;16.1;6;244.9;203;159.5;15.72;29;FNU;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Is also cow pasture. Asked not to enter April-Juli due to bird breeding habitat.;274892037;49c4423f-dc07-47e4-8d6b-ed2a30fc09b4;2023-10-03T19:27:23;;NA;submitted_via_web;jand_bio;v5CxJWaLSUmsdhg44TWR9i;NA;2
2023-10-03T21:27:22.828+02:00;2023-10-03T22:04:57.213+02:00;FUNACTION;Sweden;Norrstrom (NR);NR03T1;1586;1620;Protected area;Forest-natural (may be managed by not monocultures and straight rows etc...);Natura 2000;0;0;1;0;Lake or pond (lentic);silt or mud;59.9116 18.00157 0 0;59.9116;18.00157;0;0;09:30:00.000+02:00;2023-10-02;14.3;5.5;209.2;166.2;76.4;7.82;16.8;FNU;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Hunting area w/ shooting ranges nearby. No not visit for repeated sampling.;274899031;b8af2b9a-b5dc-4432-97b5-6c09c9966b7d;2023-10-03T20:04:59;;NA;submitted_via_web;jand_bio;v5CxJWaLSUmsdhg44TWR9i;NA;3
2023-10-03T22:04:57.235+02:00;2023-10-03T22:11:36.142+02:00;FUNACTION;Sweden;Norrstrom (NR);NR04T1;1650;1405;Non-protected area;Forest-natural (may be managed by not monocultures and straight rows etc...);;NA;NA;NA;NA;Lake or pond (lentic);gravel;59.86251 17.94453 0 0;59.86251;17.94453;0;0;11:23:00.000+02:00;2023-10-02;15.1;6;226.6;183.7;83.1;8.36;0.5;FNU;Populus (poplar) Other (define in comments at end);0;0;0;0;0;0;1;0;0;0;1;alder also present;274900318;ed191fd2-11bc-4444-8e24-a9223169d853;2023-10-03T20:11:36;;NA;submitted_via_web;jand_bio;v5CxJWaLSUmsdhg44TWR9i;NA;4
2023-10-03T22:11:36.156+02:00;2023-10-03T22:29:52.958+02:00;FUNACTION;Sweden;Norrstrom (NR);NR05T1;345;320;Protected area;Agriculture-plant;Natura 2000;0;0;1;0;Stream or river (lotic);gravel;59.83823 17.84752 0 0;59.83823;17.84752;0;0;13:25:00.000+02:00;2023-10-02;12.9;6.5;379.3;291.5;67.7;7.15;7.2;FNU;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Primarily plant agriculture around site. At site, some trees.;274903425;954ddfca-0f07-4f14-bf93-293801576a69;2023-10-03T20:30:05;;NA;submitted_via_web;jand_bio;v5CxJWaLSUmsdhg44TWR9i;NA;5
2023-10-03T22:29:52.978+02:00;2023-10-03T22:34:47.797+02:00;FUNACTION;Sweden;Norrstrom (NR);NR06T1;925;1035;Non-protected area;Agriculture-plant;;NA;NA;NA;NA;Stream or river (lotic);rock (typically larger than adult fist);59.76228 17.9067 0 0;59.76228;17.9067;0;0;14:37:00.000+02:00;2023-10-02;10.9;6.5;578;422.7;26.2;2.89;0.5;FNU;Other (define in comments at end);0;0;0;0;0;0;0;0;0;0;1;water plant (grassy);274904122;61d8a0cd-be16-41c3-a3fd-04b305f10810;2023-10-03T20:34:48;;NA;submitted_via_web;jand_bio;v5CxJWaLSUmsdhg44TWR9i;NA;6
2023-10-03T22:34:47.814+02:00;2023-10-03T22:54:09.626+02:00;FUNACTION;Sweden;Norrstrom (NR);NR07T1;1064;1125;Protected area;Agriculture-plant;Natura 2000;0;0;1;0;Stream or river (lotic);rock (typically larger than adult fist);59.79991 17.79704 0 0;59.79991;17.79704;0;0;15:50:00.000+02:00;2023-10-02;11.3;6.5;600;443.5;32.5;3.55;0.9;FNU;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;274906875;d7406527-9528-455a-b53a-6e32528e12e6;2023-10-03T20:54:11;;NA;submitted_via_web;jand_bio;v5CxJWaLSUmsdhg44TWR9i;NA;7
2023-10-03T22:54:09.646+02:00;2023-10-03T23:08:34.079+02:00;FUNACTION;Sweden;Norrstrom (NR);NR09T1;297;290;Non-protected area;Agriculture-plant;;NA;NA;NA;NA;Stream or river (lotic);rock (typically larger than adult fist);59.91274 17.57561 0 0;59.91274;17.57561;0;0;15:55:00.000+02:00;2023-10-03;12;6.5;388.5;291.8;92;9.91;2.8;FNU;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Ulva Kvarn;274908929;23cac973-1f08-42f0-9a9a-3e3a460a6beb;2023-10-03T21:08:36;;NA;submitted_via_web;jand_bio;v5CxJWaLSUmsdhg44TWR9i;NA;8
2023-10-03T23:08:34.095+02:00;2023-10-05T16:41:25.003+02:00;FUNACTION;Sweden;Norrstrom (NR);NR08T1;1170;1045;Non-protected area;Forest-natural (may be managed by not monocultures and straight rows etc...);;NA;NA;NA;NA;Lake or pond (lentic);rock (typically larger than adult fist);59.70448 17.6252 0 0;59.70448;17.6252;0;0;10:40:00.000+02:00;2023-10-04;14.9;6;368.6;297.7;77.4;7.81;2.1;FNU;Other (define in comments at end);0;0;0;0;0;0;0;0;0;0;1;Alnus;275437874;ed6a5c2a-5372-4675-ada9-edda85d7a8a3;2023-10-05T14:41:26;;NA;submitted_via_web;jand_bio;v5CxJWaLSUmsdhg44TWR9i;NA;9
2023-10-05T16:41:25.021+02:00;2023-10-05T16:49:42.401+02:00;FUNACTION;Sweden;Norrstrom (NR);NR10T1;351;340;Protected area;Forest-natural (may be managed by not monocultures and straight rows etc...);Natura 2000;0;0;1;0;Lake or pond (lentic);sand;59.72972 17.61847 0 0;59.72972;17.61847;0;0;12:15:00.000+02:00;2023-10-04;12.6;6;367.8;280.9;50.6;5.37;7.9;FNU;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;species unknown;275441088;11dc3bcf-44a6-4e3b-bf2d-b68de079858e;2023-10-05T14:49:44;;NA;submitted_via_web;jand_bio;v5CxJWaLSUmsdhg44TWR9i;NA;10
2023-10-05T16:49:42.417+02:00;2023-10-05T17:03:20.832+02:00;FUNACTION;Sweden;Norrstrom (NR);NR11T1;350;350;Non-protected area;Agriculture-plant;;NA;NA;NA;NA;Stream or river (lotic);silt or mud;59.74388 17.45635 0 0;59.74388;17.45635;0;0;13:59:00.000+02:00;2023-10-04;9.7;7;697;492.9;87.2;9.9;5.5;FNU;Acer (maple);0;0;1;0;0;0;0;0;0;0;0;W1 and W2 volumes missing from datasheet. Going from memory, was 5x60ml+ some mL. Guestimated here as 350 ml. 2 maple leaves and one populus;275445290;d2ea23cf-88a8-4df5-a95d-33db008e3ec5;2023-10-05T15:03:23;;NA;submitted_via_web;jand_bio;v5CxJWaLSUmsdhg44TWR9i;NA;11
