original;new
start;start
end;end
Project;Project
Country;Country
Watershed;Watershed
Unique.Site.ID..USID.;siteID
Sample.types.taken;removed
Sample.types.taken.Sterivex..label.as.USID.W1.;removed
Sample.types.taken.Sterivex..label.as.UISD.W2.;removed
Sample.types.taken.Water.for.chemical.analysis..label.as.USID.C1......DO.NOT.filter;removed
Sample.types.taken.Water.for.chemical.analysis..label.as.USID.C2......Filter.this.sample.through.0.45.um;removed
Sample.types.taken.Sediment..label.as.USID.S.;removed
Sample.types.taken.Litter.Organic.matter..label.as.UISD.L.;removed
Volume.filtered.for.Sterivex.filter..ml...W1;W1stvex
Volume.filtered.for.Sterivex.filter..ml...W2;W2stvex
Is.the.sample.taken.from.a.protected.area.;status
Dominant.Land.use.Ecosystem.where.you.are;landuse
Type.s..of.protections;type.protection
Type.s..of.protections.National.Park;National.Park
Type.s..of.protections.Other.Park.or.general.Reserve..e.g..regional.;Other.Park.or.general.Reservee.gregional
Type.s..of.protections.Natura.2000;Natura.2000
Type.s..of.protections.Ramsar;Ramsar
Type.of.water.body;Type.of.water.body
Sediment.type;Sediment.type
Capture.your.location;Capture.your.location
X_Capture.your.location_latitude;latitude
X_Capture.your.location_longitude;longitude
X_Capture.your.location_altitude;altitude
X_Capture.your.location_precision;precision
Sampling.Time;Sampling.Time
Sampling.Date;Sampling.Date
Water.Temperature...C.;Water.TemperatureC
pH;pH
Electric.Conductivity.SPC..µS.cm.;SPC
Electric.Conductivity.C..µS.cm.;Cond
Oxygen.saturation....;O2.
Dissolved.Oxygen..mg.L.;dO2
Turbidity.;Turbidity
Turbidity.Units;Turbidity.Units
Photo.1;removed
Photo.1_URL;removed
Photo.2;removed
Photo.2_URL;removed
Photo.3....in.front.of.you.or.other.informative.view;removed
Photo.3....in.front.of.you.or.other.informative.view_URL;removed
Plant.taxa.from.which.leaves.were.collected.in.the.Litter.sample..if.sampled.at.the.site.;leafsp
Plant.taxa.from.which.leaves.were.collected.in.the.Litter.sample..if.sampled.at.the.site..Quercus..oak.;Quercusoak
Plant.taxa.from.which.leaves.were.collected.in.the.Litter.sample..if.sampled.at.the.site..Picea..spruce.;Piceaspruce
Plant.taxa.from.which.leaves.were.collected.in.the.Litter.sample..if.sampled.at.the.site..Acer..maple.;Acermaple
Plant.taxa.from.which.leaves.were.collected.in.the.Litter.sample..if.sampled.at.the.site..Ulmus..elm.;Ulmuselm
Plant.taxa.from.which.leaves.were.collected.in.the.Litter.sample..if.sampled.at.the.site..Fagus..beech.;Fagusbeech
Plant.taxa.from.which.leaves.were.collected.in.the.Litter.sample..if.sampled.at.the.site..Betula..birch.;Betulabirch
Plant.taxa.from.which.leaves.were.collected.in.the.Litter.sample..if.sampled.at.the.site..Populus..poplar.;Populuspoplar
Plant.taxa.from.which.leaves.were.collected.in.the.Litter.sample..if.sampled.at.the.site..Salix..willow.;Salixwillow
Plant.taxa.from.which.leaves.were.collected.in.the.Litter.sample..if.sampled.at.the.site..Fraxinus..ash.;Fraxinusash
Plant.taxa.from.which.leaves.were.collected.in.the.Litter.sample..if.sampled.at.the.site..Pinus..pine.;Pinuspine
Plant.taxa.from.which.leaves.were.collected.in.the.Litter.sample..if.sampled.at.the.site..Other..define.in.comments.at.end.;Otherdefine.in.comments.at.end
Additional.field.notes.or.comments;Additional.field.notes.or.comments
X_id;id
X_uuid;uuid
X_submission_time;submissiontime
X_validation_status;validationstatus
X_notes;notes
X_status;status.1
X_submitted_by;submittedby
X__version__;version
X_tags;tags
X_index;index
